FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	qf6	qf7	qf8	nss0	nss1	nss2	nss3	nss4	nss5	total_time
BVB	FCB	1	750000000	nan	8.376797e-01	2	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	8	11	12	10	12	0	6.928269e-01	1.181202e+00	nan	1.416171e+00	6.051866e-02	nan	15.788000
BVB	FCB	1	750040000	nan	5.059403e-01	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	7	12	12	10	11	0	1.753825e+00	1.099357e+00	-4.403994e-01	5.502696e-01	-4.333507e-01	nan	39.359000
BVB	FCB	1	750080000	nan	1.586989e-02	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	7	11	13	10	11	0	1.585050e+00	-3.980101e-01	-4.885482e-01	-1.439347e-01	-4.752073e-01	nan	43.427000
BVB	FCB	1	750120000	nan	3.168773e-01	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	7	12	12	7	13	0	1.815336e+00	1.145535e+00	-4.576161e-01	-4.755456e-01	-4.433230e-01	nan	43.322000
BVB	FCB	1	750160000	nan	7.169969e-01	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	11	8	12	13	7	12	0	2.791446e+00	-2.905762e-01	-2.990108e-01	-4.928226e-01	1.875948e+00	nan	43.149000
BVB	FCB	1	750200000	nan	1.906716e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	12	9	13	13	6	13	0	2.382812e+00	1.073796e+00	-5.064658e-02	2.335994e+00	3.791624e+00	nan	43.306000
BVB	FCB	1	750240000	nan	1.140341e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	13	9	13	11	7	13	0	1.853049e+00	-8.330457e-02	-2.613876e-01	1.548796e+00	2.644551e+00	nan	42.916000
BVB	FCB	1	750280000	nan	1.188936e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	12	10	12	12	8	12	0	5.998398e-01	-4.358578e-01	-4.678774e-01	4.785464e+00	1.463109e+00	nan	43.212000
BVB	FCB	1	750320000	nan	1.538615e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	13	10	13	11	8	13	0	3.538990e-01	5.382897e-01	-4.640385e-01	5.448047e+00	1.816878e+00	nan	43.383000
BVB	FCB	1	750360000	nan	9.754972e-01	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	13	12	13	11	7	12	1	1.706924e-01	1.374496e+00	-4.817973e-01	4.213381e+00	-3.992854e-01	nan	43.524000
BVB	FCB	1	750400000	nan	3.032513e-01	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	10	13	10	4	13	3	-2.905852e-01	2.497680e+00	-4.010560e-01	-3.621458e-01	7.236270e-02	nan	43.540000
BVB	FCB	1	750440000	nan	1.407071e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	11	10	13	12	2	13	6	-3.489447e-01	2.356719e+00	-1.392664e-01	5.465751e+00	-2.989018e-01	nan	43.633000
BVB	FCB	1	750480000	nan	-2.181177e-01	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	11	11	12	12	0	13	6	-3.548168e-01	-2.285035e-02	-6.590578e-02	-3.120555e-01	-3.349601e-01	nan	43.243000
BVB	FCB	1	750520000	nan	9.188253e-01	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	9	12	11	0	13	8	-3.051121e-01	-3.307471e-01	1.134812e-01	5.469842e+00	-3.533372e-01	nan	43.336000
BVB	FCB	1	750560000	nan	1.109667e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	10	9	13	13	0	12	10	-3.462827e-01	-2.857555e-01	-2.862095e-01	6.817659e+00	-3.510757e-01	nan	43.493000
