FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	BVB	1	246440000	3.240478e+00	3.240478e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	10	9	12	0	0	4.162667e+00	7.539357e+00	5.904262e+00	2.575089e+00	2.907201e-01	-2.968404e-01	4.349125e-01	3.193618e+00	5.360513e+00	87.547000
FCB	BVB	1	246480000	3.924912e+00	3.924912e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	10	11	13	0	0	5.861452e-01	6.360561e+00	7.805254e+00	3.037770e+00	9.937478e-01	-2.898655e-01	8.107933e+00	4.552043e+00	4.170620e+00	93.227000
FCB	BVB	1	246520000	2.851478e+00	2.851478e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	11	13	0	0	4.036717e+00	8.114499e-01	5.039930e+00	1.907661e+00	-2.693903e-01	-2.865500e-01	3.178618e+00	3.379685e+00	7.865181e+00	92.586000
FCB	BVB	1	246560000	nan	3.039897e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	13	0	0	9.810974e-01	6.684008e-01	5.174696e+00	2.251902e+00	nan	-2.613490e-01	8.206254e+00	2.615502e+00	4.682675e+00	83.242000
FCB	BVB	1	246600000	nan	3.979957e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	13	0	0	1.555758e+00	1.149997e+00	5.103287e+00	3.386732e+00	nan	-2.586048e-01	9.652587e+00	3.526938e+00	7.722965e+00	82.119000
FCB	BVB	1	246640000	3.580970e+00	3.580970e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	12	0	0	1.916678e+00	1.681646e+00	7.621324e+00	1.441705e+00	-2.579230e-01	-2.676127e-01	9.026755e+00	7.756135e+00	3.310019e+00	93.166000
FCB	BVB	1	246680000	3.619319e+00	3.619319e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	13	0	0	2.935287e+00	2.313273e+00	3.098158e+00	1.917816e+00	-2.641985e-01	-2.513834e-01	5.707752e+00	8.573807e+00	8.543356e+00	94.146000
FCB	BVB	1	246720000	4.383218e+00	4.383218e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	10	12	0	0	2.486787e+00	3.842546e+00	8.178780e+00	4.678725e+00	3.548912e+00	-2.841862e-01	7.540721e+00	3.401779e+00	6.054897e+00	92.930000
FCB	BVB	1	246760000	3.570399e+00	3.570399e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	12	0	0	1.852926e+00	2.858479e+00	4.148419e+00	3.162302e+00	4.432706e+00	-2.596528e-01	6.038654e+00	3.527894e+00	6.371863e+00	93.710000
FCB	BVB	1	246800000	nan	2.232341e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	12	0	0	2.114174e+00	5.513808e+00	1.638453e+00	-2.645616e-01	4.887029e+00	-2.621447e-01	2.128425e+00	nan	2.103549e+00	82.634000
FCB	BVB	1	246840000	nan	4.041693e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	12	0	0	2.671560e+00	6.006585e+00	4.517063e+00	6.942955e-02	6.532942e+00	-2.632321e-01	5.179362e+00	nan	7.619833e+00	83.165000
FCB	BVB	1	246880000	3.151850e+00	3.151850e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	12	0	0	3.693996e+00	5.215573e+00	3.361184e+00	3.085010e-01	5.875281e+00	-2.714040e-01	5.013770e+00	-3.047550e-01	5.474507e+00	93.382000
FCB	BVB	1	246920000	3.410881e+00	3.410881e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	9	11	0	0	-3.894521e-04	4.477540e+00	7.461691e+00	-2.993020e-01	7.442830e+00	-2.296465e-01	7.183576e+00	-2.221164e-01	4.883743e+00	92.617000
FCB	BVB	1	246960000	4.771376e+00	4.771376e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	13	0	0	2.332276e+00	5.920572e+00	7.897686e+00	8.225072e+00	7.902998e+00	2.302794e-01	8.642787e+00	2.012619e+00	-2.219048e-01	94.224000
FCB	BVB	1	247000000	3.912967e+00	3.912967e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	9	12	0	0	3.404477e+00	5.054674e+00	5.166616e+00	6.811598e+00	4.799573e+00	5.524105e-01	6.889890e+00	2.810535e+00	-2.730689e-01	93.741000
FCB	BVB	1	247040000	4.724334e+00	4.724334e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	8	13	0	0	3.740739e+00	5.898835e+00	2.102948e-01	6.587321e+00	7.298385e+00	7.661802e-01	7.337427e+00	6.140235e+00	4.539590e+00	92.353000
FCB	BVB	1	247080000	3.867373e+00	3.867373e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	9	13	0	0	-2.649643e-01	5.041822e+00	1.687297e-01	1.817797e+00	7.323036e+00	9.131295e-01	7.805827e+00	4.938035e+00	7.062946e+00	92.945000
FCB	BVB	1	247120000	3.627714e+00	3.627714e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	8	12	0	0	-2.688181e-01	5.128141e+00	7.067120e-02	7.199434e+00	5.777116e+00	1.349803e+00	7.073833e+00	5.628720e+00	6.905245e-01	91.682000
FCB	BVB	1	247160000	3.524949e+00	3.524949e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	13	0	0	2.148586e+00	5.850084e+00	-1.277003e-01	4.556389e+00	3.535356e+00	1.489909e+00	7.102073e+00	5.646694e+00	1.523151e+00	93.709000
FCB	BVB	1	247200000	3.885682e+00	3.885682e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	9	12	0	0	1.781074e+00	6.200073e+00	-1.095627e-01	4.934097e+00	3.430420e+00	7.911583e-01	4.973958e+00	6.239788e+00	6.730136e+00	92.463000
FCB	BVB	1	247240000	3.514015e+00	3.514015e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	13	0	0	2.217800e+00	4.850319e+00	-9.708302e-02	3.982194e+00	4.854016e+00	-2.727329e-01	3.833321e+00	5.928459e+00	6.329845e+00	93.398000
FCB	BVB	1	247280000	2.958022e+00	2.958022e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	11	13	0	0	1.460621e+00	5.874041e+00	-1.324304e-01	4.691897e+00	-2.579005e-01	3.871319e-01	3.400342e+00	5.302814e+00	5.895683e+00	93.678000
FCB	BVB	1	247320000	2.379146e+00	2.379146e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	12	13	0	0	-1.258370e-01	6.538592e+00	3.325092e-02	4.239680e+00	-1.843329e-01	5.467161e-01	4.411627e+00	-2.637135e-01	6.216328e+00	93.148000
FCB	BVB	1	247360000	3.132392e+00	3.132392e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	13	13	0	0	1.856716e+00	-2.351687e-01	-2.198021e-01	5.205668e+00	6.227614e+00	1.236596e+00	4.362583e+00	5.602767e+00	4.154557e+00	93.039000
FCB	BVB	1	247400000	3.978173e+00	3.978173e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	12	12	0	0	1.650945e+00	6.447904e+00	5.071434e+00	-3.478646e-01	6.401071e+00	4.507504e-01	4.216515e+00	3.864675e+00	8.048130e+00	93.335000
FCB	BVB	1	247440000	3.163412e+00	3.163412e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	10	12	13	0	0	1.512247e+00	5.712300e+00	3.768473e+00	3.651376e+00	5.105848e+00	7.669033e-02	3.572724e+00	-2.619904e-01	5.333039e+00	93.756000
FCB	BVB	1	247480000	1.663784e+00	1.663784e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	12	12	0	0	-1.519857e-01	2.244686e+00	2.477419e+00	2.006585e+00	1.761997e+00	-1.128302e-01	-2.666135e-01	8.463058e-01	6.168490e+00	92.555000
FCB	BVB	1	247520000	1.591688e+00	1.591688e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	11	13	0	0	1.792948e+00	2.963056e+00	-1.478550e-01	-2.076676e-01	-2.453713e-01	-7.324813e-03	2.236641e+00	9.388445e-01	7.001922e+00	92.805000
FCB	BVB	1	247560000	2.564882e+00	2.564882e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	11	13	0	0	2.436511e+00	4.234774e+00	4.687212e-01	1.900911e+00	1.318084e+00	-2.388480e-01	2.539192e+00	3.461175e+00	6.963422e+00	92.758000
FCB	BVB	1	247600000	3.214420e+00	3.214420e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	9	13	0	0	2.090388e+00	2.600271e+00	3.768216e+00	2.149609e+00	2.820291e+00	-1.811411e-01	2.369020e+00	7.333724e+00	5.979400e+00	92.680000
FCB	BVB	1	247640000	3.788540e+00	3.788540e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	10	13	0	0	3.458381e+00	5.852262e+00	3.024303e+00	6.837319e+00	2.526759e+00	4.399739e-02	9.360877e-01	4.662909e+00	6.754842e+00	92.820000
FCB	BVB	1	247680000	4.347196e+00	4.347196e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	12	0	0	3.573214e+00	5.826426e+00	5.813862e+00	6.335212e+00	3.047006e+00	5.096838e-01	3.618918e+00	2.598498e+00	7.801945e+00	93.615000
FCB	BVB	1	247720000	3.220695e+00	3.220695e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	13	0	0	2.858365e+00	3.904673e+00	-1.718951e-01	6.062626e+00	5.254778e+00	2.237863e+00	4.454122e+00	3.727011e+00	6.587136e-01	92.947000
FCB	BVB	1	247760000	3.408891e+00	3.408891e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	9	12	0	0	3.537698e+00	3.985283e+00	-2.502263e-01	5.517217e+00	3.394147e+00	2.651344e+00	3.700579e+00	2.144988e+00	5.998987e+00	92.040000
FCB	BVB	1	247800000	2.569636e+00	2.569636e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	13	0	0	3.486535e+00	3.014299e+00	3.258524e+00	-1.949580e-01	3.653297e+00	2.272808e+00	4.896585e+00	2.015637e+00	7.240011e-01	93.304000
FCB	BVB	1	247840000	3.046160e+00	3.046160e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	10	13	0	0	3.742279e+00	3.231836e+00	-2.585616e-01	3.369527e+00	2.918257e+00	1.537518e+00	4.939022e+00	1.682422e+00	6.253143e+00	93.896000
FCB	BVB	1	247880000	3.521628e+00	3.521628e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	13	0	0	4.914308e+00	5.610964e+00	-2.514149e-01	3.972391e+00	-3.342551e-01	2.233572e+00	5.932990e+00	2.056847e+00	7.559248e+00	92.820000
FCB	BVB	1	247920000	nan	3.662074e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	13	0	0	3.650470e+00	5.342064e+00	6.118416e-01	6.953701e+00	nan	-2.265559e-01	6.900327e+00	3.000396e+00	3.064350e+00	82.805000
FCB	BVB	1	247960000	nan	2.417980e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	11	12	0	0	-2.213230e-01	3.258887e+00	1.210314e+00	3.674210e+00	nan	9.474048e-01	6.128674e+00	4.577382e+00	-2.317097e-01	82.680000
FCB	BVB	1	248000000	nan	2.548860e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	13	0	0	-2.057805e-01	4.437145e+00	1.936043e+00	5.519694e+00	nan	1.544832e+00	3.887471e+00	3.442616e+00	-1.711393e-01	83.273000
FCB	BVB	1	248040000	nan	3.017801e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	13	0	0	-2.450253e-01	5.187326e+00	3.084777e+00	6.522238e+00	nan	2.727963e+00	3.720130e+00	3.273042e+00	-1.280387e-01	82.696000
FCB	BVB	1	248080000	nan	4.728203e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	13	0	0	4.868236e+00	5.984892e+00	6.082313e+00	7.428971e+00	nan	5.252523e+00	5.771531e+00	2.006392e+00	4.307679e-01	82.633000
FCB	BVB	1	248120000	nan	6.331092e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	13	0	0	6.723521e+00	6.377705e+00	7.820470e+00	7.868418e+00	nan	6.448302e+00	7.855227e+00	8.667044e-01	6.688390e+00	84.381000
FCB	BVB	1	248160000	nan	6.365210e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	12	0	0	6.768255e+00	7.684585e+00	7.018246e+00	6.247780e+00	nan	7.680551e+00	7.865390e+00	-1.250083e-01	7.781878e+00	82.259000
FCB	BVB	1	248200000	nan	6.815067e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	13	0	0	8.251596e+00	4.673837e+00	9.417006e+00	7.413265e+00	nan	8.074232e+00	7.943135e+00	3.878593e-01	8.359603e+00	82.868000
FCB	BVB	1	248240000	nan	5.398592e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	12	0	0	6.248347e+00	6.501576e+00	8.303220e+00	7.705713e+00	nan	6.765454e+00	7.675494e+00	2.179685e-01	-2.290386e-01	82.820000
FCB	BVB	1	248280000	nan	4.344096e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	9	9	13	0	0	5.554309e+00	4.967134e+00	7.048339e+00	5.883000e-01	nan	8.911194e+00	8.085748e+00	-1.197552e-01	-2.824972e-01	82.103000
FCB	BVB	1	248320000	nan	4.381847e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	10	10	13	0	0	4.073179e+00	6.967264e+00	7.022877e+00	2.128497e-02	nan	8.835388e+00	8.483485e+00	-1.028226e-01	-2.458763e-01	82.306000
FCB	BVB	1	248360000	nan	5.199012e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	9	8	13	0	0	4.962655e+00	8.072746e+00	9.307019e+00	-4.473905e-02	nan	6.779780e+00	9.599001e+00	-1.243792e-01	3.040012e+00	82.119000
FCB	BVB	1	248400000	nan	4.279038e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	10	10	13	0	0	7.497719e+00	7.384966e+00	-2.790288e-01	-2.762244e-01	nan	6.641235e+00	8.134129e+00	-1.898747e-01	5.319384e+00	82.025000
FCB	BVB	1	248440000	nan	2.732545e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	10	9	12	0	0	7.175802e+00	3.132751e+00	9.636283e-01	-1.002023e-01	nan	1.237071e+00	4.842629e+00	-1.889594e-01	4.797637e+00	82.056000
FCB	BVB	1	248480000	nan	3.699163e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	9	13	0	0	7.775349e+00	6.606146e+00	1.839365e+00	-2.076404e-01	nan	6.032639e-02	8.459242e+00	-2.445308e-01	5.305048e+00	83.117000
FCB	BVB	1	248520000	nan	3.955277e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	12	10	12	0	0	8.035484e+00	7.661531e+00	1.586409e+00	7.590506e-01	nan	1.246051e-01	9.550310e+00	-3.133183e-01	4.238144e+00	82.274000
FCB	BVB	1	248560000	2.736508e+00	2.736508e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	7	12	11	11	0	0	6.672093e+00	3.827155e-01	-2.789695e-01	2.206953e-01	6.941779e+00	7.484213e-02	9.741867e+00	-3.091931e-01	1.182747e+00	91.540000
FCB	BVB	1	248600000	1.357694e+00	1.357694e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	4	13	10	9	0	0	-1.067587e-01	-1.924206e-01	1.800773e+00	8.060812e-02	5.693074e+00	-2.784520e-01	-9.794725e-02	3.018619e+00	2.301753e+00	90.233000
FCB	BVB	1	248640000	1.677711e+00	1.677711e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	4	13	9	6	0	0	-1.909478e-01	-2.892525e-01	3.204326e+00	3.117361e+00	1.074629e+00	5.885671e+00	-1.881362e-01	1.709306e+00	7.764460e-01	89.902000
FCB	BVB	1	248680000	1.433189e+00	1.433189e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	6	12	10	6	0	0	5.004188e+00	3.318041e-01	3.629158e+00	-1.384228e-01	-1.742891e-01	4.666011e+00	-2.426930e-01	-2.336616e-01	5.660317e-02	91.059000
FCB	BVB	1	248720000	1.645651e+00	1.645651e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	8	12	10	5	0	0	5.868899e+00	7.111486e-01	1.083613e-01	5.217622e-01	6.875900e-01	5.898056e+00	1.608953e+00	-2.773801e-01	-3.165325e-01	90.091000
FCB	BVB	1	248760000	2.312773e+00	2.312773e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	11	11	6	0	0	5.231384e+00	-1.594046e-01	5.403850e+00	6.251160e+00	1.076377e+00	3.175806e+00	3.590763e-01	-2.281285e-01	-2.951672e-01	90.745000
FCB	BVB	1	248800000	1.291915e+00	1.291915e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	10	8	0	0	3.837625e-01	-3.712341e-01	1.480318e+00	9.757116e-01	2.824638e+00	2.859465e+00	-3.601875e-01	7.219201e-01	3.112845e+00	91.743000
FCB	BVB	1	248840000	3.834788e+00	3.834788e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	9	11	0	0	4.672543e+00	-2.987374e-01	5.118494e+00	8.640041e+00	3.816756e+00	2.810393e+00	4.588508e+00	2.796049e+00	2.369044e+00	92.025000
FCB	BVB	1	248880000	2.666026e+00	2.666026e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	10	8	12	0	0	2.932697e+00	-2.605869e-01	2.252741e+00	-2.582851e-01	2.156285e+00	2.994168e+00	7.428724e+00	9.349397e-01	5.813547e+00	91.650000
FCB	BVB	1	248920000	2.195319e+00	2.195319e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	8	11	0	0	-2.631833e-01	-2.671860e-01	2.602758e+00	-1.975563e-01	7.605062e-01	7.507535e-01	7.682538e+00	2.234810e+00	6.454434e+00	93.351000
