FAN	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	n_reference	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	nss0	nss1	nss2	nss3	nss4	nss5	total_time
BVB	1	1923640000	nan	7.092595e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	0	12	12	8.862487e+00	4.742681e+00	6.731094e+00	nan	9.269488e+00	5.857226e+00	13.550000
BVB	1	1923680000	nan	7.960264e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	0	13	13	7.735102e+00	7.586708e+00	7.937545e+00	nan	6.724263e+00	9.817702e+00	14.814000
BVB	1	1923720000	nan	8.293604e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	0	12	13	7.095452e+00	7.967177e+00	7.789854e+00	nan	8.785810e+00	9.829727e+00	22.403000
BVB	1	1923760000	nan	7.872211e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	0	12	12	7.350591e+00	7.508255e+00	6.157523e+00	nan	8.753892e+00	9.590794e+00	13.838000
BVB	1	1923800000	nan	7.984691e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	11	0	12	13	7.722833e+00	7.422826e+00	6.223366e+00	nan	9.096125e+00	9.458304e+00	27.612000
BVB	1	1923840000	nan	3.425129e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	0	10	12	1.645310e+00	5.553643e+00	1.281250e-01	nan	3.702014e+00	6.096555e+00	20.623000
BVB	1	1923880000	nan	1.794495e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	0	10	13	7.965184e-01	4.310601e+00	5.312164e-01	nan	4.790781e-02	3.286232e+00	13.245000
BVB	1	1923920000	nan	1.285105e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	0	10	11	8.406801e-01	2.250328e+00	3.999949e-01	nan	1.483407e+00	1.451113e+00	20.373000
BVB	1	1923960000	nan	1.632336e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	11	0	10	8	9.153208e-01	2.196821e+00	5.853595e-01	nan	1.605285e+00	2.858896e+00	17.690000
BVB	1	1924000000	nan	1.782920e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	0	9	6	4.574784e-01	3.095012e+00	5.165222e-01	nan	3.475736e+00	1.369851e+00	13.057000
BVB	1	1924040000	nan	1.385089e+00	2	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	12	0	10	4	1.437029e+00	3.206202e+00	4.566770e-01	nan	4.404468e-01	nan	10.405000
BVB	1	1924080000	nan	1.073848e+00	2	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	12	0	9	5	1.254206e+00	2.159537e+00	5.443691e-01	nan	3.372772e-01	nan	20.764000
BVB	1	1924120000	nan	4.762000e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	0	8	6	8.672147e-01	1.535699e+00	3.650617e-01	nan	-7.250068e-02	-3.144751e-01	23.572000
BVB	1	1924160000	nan	4.033897e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	0	9	8	6.214940e-01	1.367566e+00	2.646207e-01	nan	2.036673e-02	-2.570988e-01	22.074000
BVB	1	1924200000	nan	8.672352e-02	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	10	0	11	11	-1.320665e-01	4.163329e-01	9.285680e-02	nan	3.923227e-01	-3.358284e-01	26.458000
BVB	1	1924240000	nan	4.310922e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	0	10	12	-2.001410e-01	8.416092e-01	-1.678107e-01	nan	1.962166e+00	-2.803632e-01	25.240000
BVB	1	1924280000	nan	1.481330e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	9	0	12	13	-1.892381e-01	5.074819e-01	-1.210856e-01	nan	8.185426e-01	-2.750356e-01	26.474000
BVB	1	1924320000	nan	2.096388e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	9	0	12	13	-1.983357e-01	8.756777e-01	-1.575517e-01	nan	8.239443e-01	-2.955404e-01	26.052000
BVB	1	1924360000	nan	1.129998e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	8	0	12	13	1.954499e+00	2.976833e+00	-2.436634e-01	nan	1.238935e+00	-2.766162e-01	26.410000
BVB	1	1924400000	nan	1.305118e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	9	0	13	13	1.549876e+00	3.863386e+00	-2.909647e-01	nan	1.685673e+00	-2.823791e-01	26.130000
BVB	1	1924440000	nan	2.596488e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	9	0	12	12	3.340923e-01	6.348491e+00	-2.745032e-01	nan	6.860629e+00	-2.862720e-01	15.975000
BVB	1	1924480000	nan	4.945142e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	0	13	13	4.285789e-01	7.976506e+00	-2.237468e-01	nan	8.405978e+00	8.138391e+00	26.364000
BVB	1	1924520000	nan	5.039715e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	0	13	12	3.907852e-01	8.440825e+00	-2.216081e-01	nan	8.035837e+00	8.552736e+00	26.707000
