fan_cl_spiel,participant,"BVB Items_(42,189]_1","BVB Items_(42,189]_2","BVB Items_(5.1,42]_1","BVB Items_(5.1,42]_2","BVB Items_[0.78,5.1]_1","BVB Items_[0.78,5.1]_2","FCB Items_(42,189]_1","FCB Items_(42,189]_2","FCB Items_(5.1,42]_1","FCB Items_(5.1,42]_2","FCB Items_[0.78,5.1]_1","FCB Items_[0.78,5.1]_2"
BVB Fans,1,0.7,0.7,0.555555555555556,0.666666666666667,0.714285714285714,0.714285714285714,0.6,0.8,0.428571428571429,0.857142857142857,0.777777777777778,0.444444444444444
BVB Fans,3,0.7,0.6,0.555555555555556,0.666666666666667,0.857142857142857,0.714285714285714,0.6,0.8,0.428571428571429,1,0.666666666666667,0.444444444444444
BVB Fans,5,0.6,0.5,0.555555555555556,0.666666666666667,0.428571428571429,0.714285714285714,0.4,0.4,0.714285714285714,0.714285714285714,0.777777777777778,0.777777777777778
BVB Fans,7,0.6,0.4,0.666666666666667,0.666666666666667,0.857142857142857,0.857142857142857,0.4,0.6,0.428571428571429,0.714285714285714,0.777777777777778,0.555555555555556
BVB Fans,9,0.5,0.7,0.666666666666667,0.444444444444444,0.857142857142857,0.428571428571429,0.6,0.6,0.714285714285714,0.857142857142857,0.444444444444444,0.555555555555556
BVB Fans,11,0.8,0.5,0.777777777777778,0.888888888888889,1,1,0.2,0.6,0.857142857142857,0.857142857142857,0.888888888888889,0.777777777777778
BVB Fans,13,0.6,0.5,0.666666666666667,0.777777777777778,0.714285714285714,0.857142857142857,0.6,0.8,1,1,0.888888888888889,0.777777777777778
BVB Fans,15,0.6,0.5,0.777777777777778,1,1,1,0.6,0.6,0.571428571428571,0.714285714285714,0.777777777777778,0.888888888888889
BVB Fans,17,0.6,0.4,0.444444444444444,0.555555555555556,1,0.857142857142857,0.8,0.8,0.714285714285714,1,0.888888888888889,0.777777777777778
BVB Fans,19,0.6,0.3,0.555555555555556,0.444444444444444,0.571428571428571,0.714285714285714,0.6,0.6,0.714285714285714,0.714285714285714,0.666666666666667,0.777777777777778
