Effect,DFn,DFd,SSn,SSd,F,p,p<.05,ges,pes
(Intercept),1,54,264.88037202381,4.37408110119048,3270.06741722114,5.32975862731514e-50,*,0.931306623054149,0.983754842118953
fan_cl_spiel,1,54,0.140277915564375,4.37408110119048,1.73179400775504,0.193741268970203,,0.00712869950530862,0.031073717230672
team,1,54,0.0141545226997324,1.31105735465483,0.582998312828797,0.448462684300627,,0.000723950304035503,0.0106809506778555
eb_dist_factor,2,108,1.53933729708814,4.19237162226002,19.8274918190457,4.6289753289755e-08,*,0.0730340868450072,0.268565155479529
testTime,1,54,0.012818093948338,1.03284355884844,0.670166422862716,0.416591697142647,,0.000655641843010309,0.0122583571024663
fan_cl_spiel:team,1,54,0.00303558212306087,1.31105735465483,0.125029949348359,0.725018676712803,,0.000155346889593718,0.00231002088064183
fan_cl_spiel:eb_dist_factor,2,108,0.0551706472933089,4.19237162226002,0.710627592749673,0.493618480814577,,0.00281586278274503,0.0129888400849536
fan_cl_spiel:testTime,1,54,0.000190576984026997,1.03284355884844,0.0099639069724479,0.920857392317473,,9.75425849632531e-06,0.000184482755619128
team:eb_dist_factor,2,108,1.20955139683741,3.24918505133535,20.1022023668294,3.78776287467639e-08,*,0.0582995436560758,0.27127671951391
team:testTime,1,54,0.056530705977277,0.945918220811987,3.22719031688862,0.0780192378405538,,0.00288507874667427,0.0563926046171138
eb_dist_factor:testTime,2,108,0.0281608882530091,2.42596875349934,0.626837408136016,0.536211222026696,,0.00143929186106592,0.0114748983810411
fan_cl_spiel:team:eb_dist_factor,2,108,0.0289124138411979,3.24918505133535,0.48051136600639,0.619782863058947,,0.00147764528003751,0.00881987620817761
fan_cl_spiel:team:testTime,1,54,0.0023064691962911,0.945918220811987,0.131670300729385,0.71812296877766,,0.000118038705844818,0.0024324078676658
fan_cl_spiel:eb_dist_factor:testTime,2,108,0.00831051949733452,2.42596875349934,0.184985091917914,0.831379452677787,,0.000425178727461572,0.0034139548364572
team:eb_dist_factor:testTime,2,108,0.180122879398674,2.00620758359928,4.84826972395255,0.00963037798299205,*,0.00913505970209416,0.0823859349934157
fan_cl_spiel:team:eb_dist_factor:testTime,2,108,0.103238278078722,2.00620758359928,2.77880866457959,0.0665585928678993,,0.00525629822236283,0.0489409469824451
