participant,fan_cl_spiel,PC
1,BVB Fans,0.663227513227513
3,BVB Fans,0.669444444444444
5,BVB Fans,0.604100529100529
7,BVB Fans,0.626984126984127
9,BVB Fans,0.614021164021164
11,BVB Fans,0.762301587301587
13,BVB Fans,0.76521164021164
15,BVB Fans,0.752513227513227
17,BVB Fans,0.736507936507937
19,BVB Fans,0.60489417989418
21,BVB Fans,0.481349206349206
23,BVB Fans,0.576984126984127
24,BVB Fans,0.659920634920635
25,BVB Fans,0.55
28,BVB Fans,0.628703703703704
29,BVB Fans,0.605820105820106
30,BVB Fans,0.732142857142857
31,BVB Fans,0.630555555555556
32,BVB Fans,0.551455026455026
33,BVB Fans,0.656481481481481
34,BVB Fans,0.58015873015873
36,BVB Fans,0.549338624338624
38,BVB Fans,0.715343915343915
40,BVB Fans,0.659391534391534
44,BVB Fans,0.502777777777778
48,BVB Fans,0.69973544973545
50,BVB Fans,0.671296296296296
52,BVB Fans,0.717724867724868
54,BVB Fans,0.402116402116402
56,BVB Fans,0.757804232804233
58,BVB Fans,0.648941798941799
60,BVB Fans,0.713624338624339
2,FCB Fans,0.528571428571429
4,FCB Fans,0.596693121693122
6,FCB Fans,0.579232804232804
8,FCB Fans,0.707671957671958
10,FCB Fans,0.588492063492064
12,FCB Fans,0.596031746031746
14,FCB Fans,0.719179894179894
16,FCB Fans,0.57473544973545
18,FCB Fans,0.617724867724868
20,FCB Fans,0.617989417989418
22,FCB Fans,0.541005291005291
26,FCB Fans,0.576587301587302
35,FCB Fans,0.758994708994709
39,FCB Fans,0.739153439153439
41,FCB Fans,0.676719576719577
43,FCB Fans,0.600396825396825
47,FCB Fans,0.687037037037037
49,FCB Fans,0.468253968253968
51,FCB Fans,0.68505291005291
53,FCB Fans,0.592857142857143
55,FCB Fans,0.602248677248677
57,FCB Fans,0.533994708994709
59,FCB Fans,0.540740740740741
61,FCB Fans,0.538095238095238
